Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Costa Rica,Beverages,Offline,H,01/14/2014,871795521,02/11/2014,9790,47.63,32.23,466256.51,315519.6,150736.91
Middle East and North Africa,Saudi Arabia,Fruits,Online,M,06/04/2016,419309439,06/15/2016,9722,65.14,43.71,633257.43,424916.35,208341.09
Australia and Oceania,Fiji,Baby Food,Offline,H,06/04/2016,575584232,06/17/2016,9475,135.26,90.19,1281595.18,854582.95,427012.23
Sub-Saharan Africa,Nigeria,Household,Offline,H,06/11/2014,928540878,07/05/2014,7995,637.52,481.8,5096976.21,3852022.18,1244954.03
Sub-Saharan Africa,Cape Verde,Baby Food,Online,L,03/17/2012,107654909,03/29/2012,7555,146.28,86.13,1105167.59,650690.46,454477.13
Sub-Saharan Africa,Eritrea,Baby Food,Online,M,08/08/2011,223035620,08/31/2011,5856,169.06,85.31,990015.19,499587.74,490427.45
Europe,France,Fruits,Online,C,09/30/2015,498129398,11/01/2015,4932,64.41,43.83,317694.45,216154.22,101540.23
Sub-Saharan Africa,Kenya,Cosmetics,Online,L,06/02/2013,673505733,07/06/2013,7126,434.26,229.51,3094510.69,1635520.25,1458990.45
Sub-Saharan Africa,Chad,Fruits,Offline,M,04/08/2012,565397506,05/07/2012,660,68.7,42.48,45344.83,28038.23,17306.59
Europe,Estonia,Clothes,Online,C,10/01/2015,733816999,11/03/2015,5760,102.94,37.36,592956.19,215216.47,377739.72
Asia,South Korea,Personal Care,Offline,M,05/31/2011,646918365,07/01/2011,263,85.2,58.49,22407.52,15382.72,7024.79
Sub-Saharan Africa,Cape Verde,Fruits,Offline,M,06/15/2013,350368452,06/27/2013,3109,78.45,42.2,243889.04,131194.71,112694.32
Sub-Saharan Africa,Eritrea,Clothes,Online,C,02/28/2014,688781719,03/20/2014,6198,109.5,35.99,678661.72,223092.19,455569.53
Asia,Japan,Office Supplies,Online,M,04/14/2011,446546429,05/04/2011,2558,703.72,547.37,1800117.51,1400163.21,399954.3
Europe,Italy,Cereal,Online,M,04/01/2014,855593187,04/17/2014,8353,162.81,109.87,1359980.26,917707.87,442272.39
Middle East and North Africa,Morocco,Baby Food,Online,L,11/18/2012,137856186,11/30/2012,8051,158.86,85.51,1279001.77,688427.43,590574.35
Australia and Oceania,Australia,Cosmetics,Offline,H,03/13/2012,663236122,03/21/2012,226,414.76,257.26,93735.36,58139.67,35595.69
North America,Canada,Household,Online,L,03/26/2013,409255683,04/14/2013,4643,709.89,436.19,3296019.4,2025211.42,1270807.97
Middle East and North Africa,Saudi Arabia,Household,Online,H,03/30/2016,865872407,05/06/2016,3421,654.58,524.8,2239317.92,1795336.91,443981.01
Asia,South Korea,Baby Food,Online,H,09/10/2011,919956639,10/01/2011,6103,145.07,89.74,885348.83,547652.94,337695.89
Europe,Montenegro,Snacks,Offline,M,07/23/2012,400910439,07/26/2012,2734,138.64,97.19,379053.02,265704.17,113348.85
Australia and Oceania,New Zealand,Cereal,Offline,H,05/04/2012,411603161,05/06/2012,785,200.19,102.01,157149.26,80074.45,77074.81
Australia and Oceania,Papua New Guinea,Beverages,Offline,M,01/28/2013,358185058,02/23/2013,1842,50.25,32.48,92568.91,59827.13,32741.77
Europe,Spain,Personal Care,Online,L,01/20/2011,404688903,01/21/2011,6656,79.94,50.06,532051.86,333189.07,198862.79
Asia,South Korea,Cereal,Online,C,12/27/2012,435663154,01/18/2013,3770,186.42,105.3,702799.66,396995.73,305803.93
Europe,Greece,Cosmetics,Offline,C,11/12/2012,328773646,11/18/2012,2492,412.3,266.39,1027447.56,663852.48,363595.09
Middle East and North Africa,Saudi Arabia,Fruits,Offline,H,05/04/2014,321971308,05/10/2014,9184,72.3,45.37,663991.32,416638.74,247352.58
North America,Canada,Cereal,Online,M,08/21/2015,294073232,09/09/2015,8312,174.19,108.66,1447846.1,903160.07,544686.03
North America,United States,Household,Online,L,01/28/2016,865854846,02/20/2016,7561,696.88,437.59,5269119.01,3308592.17,1960526.84
Europe,Montenegro,Cereal,Online,M,02/15/2014,788042471,03/12/2014,7405,174.6,120.01,1292890.97,888652.1,404238.87
North America,Mexico,Household,Online,L,09/04/2011,383627673,09/07/2011,1680,610.78,443.54,1026110.48,745140.15,280970.33
Central America and the Caribbean,Cuba,Fruits,Offline,H,10/05/2013,552949741,11/04/2013,6618,71.6,44.76,473870.49,296229.93,177640.57
Sub-Saharan Africa,Nigeria,Household,Offline,M,06/05/2012,687037795,06/10/2012,2850,627.4,433.47,1788076.36,1235387.32,552689.04
Asia,China,Baby Food,Online,L,05/30/2012,403090455,06/15/2012,8528,159.09,81.48,1356725.69,694837.59,661888.09
Asia,South Korea,Office Supplies,Online,M,08/26/2015,994439328,09/28/2015,5053,642.57,544.15,3246909.25,2749572.17,497337.09
Asia,Japan,Baby Food,Online,M,12/02/2013,397904524,12/31/2013,4108,138.78,81.33,570104.85,334095.39,236009.46
Asia,China,Clothes,Offline,L,03/31/2011,681524060,04/08/2011,9818,98.52,33.32,967226.3,327183.49,640042.81
North America,United States,Household,Online,L,01/03/2014,268303991,02/01/2014,7588,652.92,524.89,4954328.35,3982848.12,971480.24
Middle East and North Africa,Egypt,Household,Offline,C,07/11/2011,798437615,08/15/2011,1572,645.45,506.54,1014652.02,796274.03,218377.99
North America,United States,Household,Online,L,09/15/2015,119511512,09/28/2015,2915,601.76,518.65,1754123.49,1511850.41,242273.08
Australia and Oceania,Papua New Guinea,Personal Care,Online,L,11/29/2012,697866672,12/18/2012,396,91.17,58.82,36103.65,23292.16,12811.49
Sub-Saharan Africa,Kenya,Fruits,Online,H,11/08/2014,666236526,11/27/2014,8336,70.85,43.14,590587.23,359605.84,230981.39
Sub-Saharan Africa,Cape Verde,Meat,Offline,C,05/08/2015,234415503,05/31/2015,1063,387.58,349.61,411993.97,371634.81,40359.15
North America,United States,Snacks,Offline,H,05/23/2014,533426666,06/21/2014,8011,139.39,88.22,1116653.4,706705.12,409948.27
Europe,Greece,Fruits,Offline,L,06/07/2014,856307117,06/14/2014,1192,64.27,47.9,76613.84,57092.91,19520.92
Europe,Greece,Household,Offline,L,12/16/2014,449204103,01/04/2015,9581,645.23,510.03,6181942.39,4886585.53,1295356.86
North America,Mexico,Personal Care,Offline,C,01/02/2016,994131451,01/08/2016,3487,81.63,53.66,284655.46,187104.97,97550.49
North America,Mexico,Snacks,Online,H,02/08/2011,115814828,02/11/2011,4749,150.2,96.36,713276.43,457604.08,255672.34
Middle East and North Africa,Saudi Arabia,Office Supplies,Offline,H,10/16/2014,877558402,11/24/2014,505,616.1,478.57,311132.99,241678.46,69454.53
Sub-Saharan Africa,Nigeria,Household,Online,M,04/29/2015,340539820,05/31/2015,1853,637.44,436.17,1181169.91,808216.48,372953.43
Central America and the Caribbean,Haiti,Fruits,Offline,C,06/04/2014,423988920,06/23/2014,6191,74.01,46.76,458223.62,289501.92,168721.7
North America,Canada,Household,Online,M,07/06/2014,295190712,07/22/2014,7115,630.66,523.24,4487121.13,3722849.06,764272.07
Australia and Oceania,Papua New Guinea,Office Supplies,Online,L,10/28/2013,730708899,11/25/2013,3720,612.77,508.37,2279502.89,1891120.07,388382.82
Middle East and North Africa,Turkey,Personal Care,Online,C,04/30/2016,227833288,05/17/2016,6133,88.28,57.03,541396.1,349777.52,191618.58
Central America and the Caribbean,Jamaica,Clothes,Offline,M,06/06/2015,587114542,06/11/2015,10,113.32,37.56,1133.18,375.62,757.56
Central America and the Caribbean,Jamaica,Beverages,Online,L,01/09/2012,746035632,01/10/2012,7450,44.79,32.82,333648.41,244505.17,89143.24
Asia,Japan,Baby Food,Online,L,01/27/2014,158720660,01/28/2014,8176,137.83,93.45,1126865.09,764054.22,362810.86
Central America and the Caribbean,Haiti,Household,Online,H,12/31/2014,181550308,01/23/2015,3637,738.52,513.57,2686013.36,1867840.09,818173.27
Sub-Saharan Africa,Mali,Personal Care,Online,L,02/20/2011,990035971,03/05/2011,5566,89.56,57.83,498515.52,321865.03,176650.5
Europe,Germany,Office Supplies,Offline,M,09/07/2011,195856757,10/11/2011,771,638.63,535.22,492380.14,412653.19,79726.95
Australia and Oceania,Papua New Guinea,Household,Online,M,02/01/2013,675591023,02/18/2013,2815,589.68,504.49,1659941.28,1420148.29,239792.98
Central America and the Caribbean,Cuba,Cereal,Offline,H,04/13/2011,603643839,05/21/2011,6882,177.78,111.98,1223457.46,770633.9,452823.56
Australia and Oceania,New Zealand,Meat,Offline,H,08/24/2014,962903776,10/01/2014,9551,419.64,358.55,4007952.91,3424473.51,583479.41
Asia,Japan,Household,Offline,C,05/18/2011,181251088,06/04/2011,3580,595.76,436.4,2132832.78,1562321.6,570511.18
Australia and Oceania,Fiji,Cereal,Offline,M,11/06/2015,425830514,11/17/2015,6255,167.8,101.82,1049586.42,636865.39,412721.03
North America,Mexico,Cosmetics,Online,C,06/18/2013,510887863,06/22/2013,8473,472.16,248.7,4000635.26,2107218.85,1893416.41
Central America and the Caribbean,Costa Rica,Cereal,Offline,M,12/10/2013,408338452,12/29/2013,5125,177.53,106.65,909834.68,546569.07,363265.61
Australia and Oceania,Fiji,Cosmetics,Offline,L,08/21/2011,986196569,09/02/2011,2594,391.52,241.5,1015599.2,626463.91,389135.29
Asia,Japan,Snacks,Offline,H,02/18/2014,451152366,03/12/2014,6494,140.89,92.67,914917.99,601788.81,313129.18
Sub-Saharan Africa,Senegal,Vegetables,Offline,C,09/16/2012,892511740,10/21/2012,5812,133.33,87.67,774897.84,509529.31,265368.53
Australia and Oceania,Australia,Snacks,Online,H,03/19/2011,367754137,04/12/2011,4622,140.54,88.03,649576.88,406871.06,242705.82
Asia,Thailand,Meat,Offline,C,07/21/2014,240090082,08/28/2014,1907,403.46,333.85,769397.08,636646.28,132750.8
Central America and the Caribbean,Costa Rica,Snacks,Offline,L,07/20/2014,483129685,08/28/2014,7642,155.08,89.93,1185083.79,687253.56,497830.23
Central America and the Caribbean,Costa Rica,Personal Care,Online,M,03/08/2011,473319790,03/26/2011,6372,82.74,55.96,527232.86,356546.87,170685.99
Sub-Saharan Africa,Cape Verde,Clothes,Online,L,09/04/2012,742730675,09/10/2012,5402,105.19,33.21,568230.33,179402.97,388827.36
Asia,Vietnam,Cosmetics,Offline,L,08/05/2014,756524997,08/27/2014,1606,403.83,233.03,648543.85,374252.71,274291.14
Asia,Thailand,Office Supplies,Offline,L,01/28/2013,205275634,01/31/2013,2591,621.61,548.24,1610595.42,1420484.3,190111.12
North America,United States,Cereal,Online,C,03/16/2011,122763342,03/20/2011,8838,205.88,109.8,1819549.96,970381.23,849168.73
Australia and Oceania,New Zealand,Personal Care,Online,H,12/15/2012,228759218,12/23/2012,6317,87.39,51.56,552041.74,325688.61,226353.13
Australia and Oceania,Papua New Guinea,Clothes,Online,L,06/15/2012,593220398,06/27/2012,2049,105.27,33.52,215689.01,68683.33,147005.68
Central America and the Caribbean,Cuba,Meat,Offline,C,04/24/2013,322580384,04/27/2013,9094,413.34,324.41,3758945.33,2950175.7,808769.63
North America,United States,Fruits,Online,L,04/06/2014,477390675,04/08/2014,8513,65.43,40.52,557000.77,344984.2,212016.57
Sub-Saharan Africa,Eritrea,Office Supplies,Online,H,12/13/2014,558269790,01/12/2015,7985,689.86,524.6,5508554.11,4188910.66,1319643.45
Europe,Italy,Household,Online,H,03/06/2014,878390091,04/09/2014,8163,595.81,503.15,4863561.47,4107193.71,756367.75
Australia and Oceania,Papua New Guinea,Office Supplies,Offline,L,06/06/2014,312760379,06/20/2014,6942,685.9,468.64,4761487.01,3253302.34,1508184.67
Asia,India,Snacks,Online,C,08/23/2012,885901969,09/17/2012,9511,161.77,102.59,1538564.43,975768.5,562795.93
Central America and the Caribbean,Cuba,Baby Food,Offline,H,05/23/2011,552528272,06/25/2011,1249,149.68,90.57,186951.04,113126.22,73824.82
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,H,05/24/2016,915322757,05/30/2016,1203,609.91,463.93,733722.18,558104.43,175617.75
North America,Mexico,Baby Food,Online,M,06/08/2014,265773731,07/05/2014,2205,140.69,86.61,310216.62,190977.25,119239.37
Central America and the Caribbean,Haiti,Beverages,Offline,M,07/15/2011,153509641,08/06/2011,4613,50.36,29.05,232327.35,134019.14,98308.21
Australia and Oceania,Fiji,Vegetables,Offline,C,08/05/2013,303132060,08/20/2013,3720,131.25,85.13,488239.25,316670.67,171568.58
Middle East and North Africa,Turkey,Cereal,Offline,H,09/18/2012,283500067,10/24/2012,794,173.33,106.61,137624.78,84644.62,52980.16
Asia,Thailand,Snacks,Online,M,03/03/2014,845592854,03/11/2014,815,145.8,97.18,118824.85,79205.0,39619.84
Europe,France,Office Supplies,Online,M,09/11/2013,177782638,10/14/2013,9832,693.18,543.21,6815337.95,5340858.7,1474479.26
Middle East and North Africa,Saudi Arabia,Household,Online,L,02/07/2016,634445854,03/06/2016,6025,653.92,502.7,3939875.44,3028759.35,911116.09
Sub-Saharan Africa,Nigeria,Meat,Offline,L,03/24/2013,810905177,04/30/2013,1646,397.56,373.62,654389.84,614985.69,39404.15
Sub-Saharan Africa,Kenya,Cosmetics,Offline,H,07/24/2013,739961748,08/08/2013,7113,456.15,235.28,3244568.02,1673539.46,1571028.56
Sub-Saharan Africa,Mali,Snacks,Offline,H,07/28/2012,587556697,08/22/2012,7974,147.99,92.09,1180056.11,734342.49,445713.62
Europe,Estonia,Baby Food,Online,H,08/12/2013,433426712,09/05/2013,1991,141.21,81.61,281142.64,162485.16,118657.48
Sub-Saharan Africa,Chad,Meat,Online,M,06/05/2011,165170480,06/26/2011,967,480.43,347.13,464577.59,335673.96,128903.62
Middle East and North Africa,Saudi Arabia,Office Supplies,Offline,H,11/28/2015,388091276,12/30/2015,9182,674.24,470.99,6190907.24,4324635.32,1866271.93
Asia,Thailand,Baby Food,Offline,L,10/13/2011,378490535,10/29/2011,7187,137.46,94.96,987954.3,682473.91,305480.39
North America,United States,Cereal,Online,C,02/10/2014,356153253,03/12/2014,9139,168.99,103.0,1544361.33,941339.11,603022.22
Central America and the Caribbean,Haiti,Beverages,Offline,C,02/16/2013,733208786,02/26/2013,6306,45.1,27.15,284389.62,171222.52,113167.11
Middle East and North Africa,Egypt,Beverages,Offline,C,04/12/2013,942299350,04/15/2013,8520,41.67,31.8,355038.81,270931.71,84107.1
Asia,India,Baby Food,Online,H,07/11/2014,337575970,08/14/2014,2144,172.08,91.86,368933.79,196942.59,171991.2
Australia and Oceania,New Zealand,Vegetables,Online,L,07/01/2011,771699853,07/22/2011,823,157.37,81.23,129516.95,66855.61,62661.34
North America,Canada,Beverages,Offline,H,07/06/2015,456660771,07/25/2015,1309,45.24,32.36,59220.5,42354.04,16866.46
North America,Canada,Vegetables,Offline,M,10/19/2013,585585602,10/21/2013,4567,127.2,95.95,580913.19,438211.78,142701.41
Central America and the Caribbean,Cuba,Personal Care,Online,L,07/28/2013,952350451,09/01/2013,1388,74.8,59.05,103825.54,81965.77,21859.77
Asia,Thailand,Beverages,Online,C,12/21/2012,180218637,01/07/2013,2600,48.36,29.42,125741.24,76479.78,49261.46
Sub-Saharan Africa,Nigeria,Cosmetics,Offline,M,01/04/2011,210338489,01/30/2011,8997,379.93,270.71,3418239.4,2435622.32,982617.08
Central America and the Caribbean,Cuba,Vegetables,Offline,M,02/03/2011,766785444,02/20/2011,7142,155.04,84.72,1107302.56,605038.69,502263.87
Europe,Italy,Household,Offline,L,08/03/2014,518386087,08/09/2014,8802,682.58,495.84,6008104.28,4364414.67,1643689.61
North America,United States,Baby Food,Online,L,02/08/2015,814181627,02/10/2015,5942,162.68,82.49,966622.34,490157.81,476464.53
Middle East and North Africa,Morocco,Snacks,Offline,L,12/08/2015,553860863,12/19/2015,6820,161.96,91.15,1104595.99,621611.03,482984.96
Asia,Thailand,Cereal,Offline,H,10/25/2012,185518073,11/16/2012,7716,186.29,102.56,1437436.21,791386.18,646050.03
Middle East and North Africa,Morocco,Baby Food,Online,H,12/31/2011,629709256,02/03/2012,154,152.78,87.2,23528.72,13428.63,10100.09
Sub-Saharan Africa,Chad,Personal Care,Offline,H,06/28/2015,426131490,07/23/2015,1253,72.05,60.14,90274.63,75361.3,14913.32
Australia and Oceania,Australia,Fruits,Offline,L,12/03/2013,960012873,12/20/2013,3641,70.81,42.17,257801.37,153527.12,104274.25
Australia and Oceania,Papua New Guinea,Office Supplies,Offline,C,10/22/2012,781969366,11/08/2012,5605,665.3,534.92,3729022.57,2998224.16,730798.41
Sub-Saharan Africa,Senegal,Personal Care,Online,H,05/14/2015,321602280,06/09/2015,8045,85.4,49.99,687029.72,402135.92,284893.8
North America,Canada,Beverages,Online,L,01/14/2014,245796877,01/21/2014,4431,48.35,28.78,214221.03,127542.32,86678.71
Europe,Estonia,Beverages,Offline,M,05/31/2014,335719027,06/30/2014,9127,45.62,30.13,416377.08,275038.56,141338.52
North America,Canada,Office Supplies,Offline,C,07/07/2011,679813506,08/10/2011,2984,626.36,490.45,1869058.2,1463498.46,405559.74
North America,Mexico,Office Supplies,Offline,C,10/04/2014,395289752,10/26/2014,7565,655.01,538.6,4955174.58,4074492.17,880682.41
Europe,Germany,Cereal,Offline,H,04/08/2014,191351453,05/12/2014,4347,201.36,110.64,875318.77,480937.37,394381.39
Asia,India,Beverages,Online,C,01/29/2011,261476925,02/27/2011,8437,45.9,30.48,387237.54,257198.09,130039.45
Middle East and North Africa,Libya,Snacks,Online,L,10/14/2014,114372528,11/03/2014,2051,152.52,91.14,312827.04,186934.41,125892.63
Europe,Germany,Cereal,Online,L,08/16/2015,788651188,08/17/2015,8174,164.03,101.41,1340777.38,828911.34,511866.04
Sub-Saharan Africa,Cape Verde,Fruits,Offline,M,01/03/2016,484017322,02/09/2016,4806,80.19,48.46,385396.91,232888.14,152508.77
Asia,Thailand,Cereal,Offline,H,07/17/2012,751032135,07/21/2012,7828,199.7,104.07,1563268.49,814679.7,748588.79
Asia,Vietnam,Snacks,Offline,M,04/04/2013,257762472,04/30/2013,6403,165.98,100.71,1062787.32,644875.74,417911.58
Australia and Oceania,New Zealand,Beverages,Offline,L,01/27/2014,207509488,02/16/2014,9789,43.43,30.09,425113.02,294565.57,130547.45
Europe,Italy,Baby Food,Online,H,06/09/2011,628012044,07/14/2011,7288,163.05,81.63,1188273.31,594901.75,593371.56
Middle East and North Africa,Turkey,Cereal,Offline,L,08/09/2013,198609786,08/12/2013,9180,183.45,99.98,1684075.2,917782.31,766292.89
Europe,Germany,Snacks,Offline,H,02/09/2011,318430724,03/06/2011,9611,138.26,93.26,1328836.12,896327.73,432508.38
North America,United States,Office Supplies,Offline,L,04/14/2014,240026769,05/10/2014,8229,592.13,518.33,4872624.57,4265303.64,607320.94
Central America and the Caribbean,Jamaica,Baby Food,Online,C,08/17/2014,169058877,09/18/2014,2397,168.99,91.28,405079.25,218807.13,186272.12
Europe,Estonia,Baby Food,Online,C,03/16/2014,780545447,04/01/2014,2140,166.9,96.61,357159.18,206748.17,150411.01
Sub-Saharan Africa,Mali,Meat,Offline,L,09/13/2015,609431998,10/19/2015,3739,457.04,326.1,1708854.79,1219296.71,489558.07
Asia,Vietnam,Snacks,Offline,H,11/20/2013,122098345,12/13/2013,7562,165.75,89.84,1253386.45,679399.41,573987.04
North America,Mexico,Cereal,Online,M,10/08/2015,132073692,10/21/2015,9740,162.29,105.31,1580678.93,1025766.53,554912.4
Australia and Oceania,New Zealand,Baby Food,Offline,L,12/26/2011,644152417,01/26/2012,4544,155.25,95.04,705453.51,431849.11,273604.39
Australia and Oceania,New Zealand,Beverages,Online,L,06/01/2014,494587966,07/05/2014,1436,47.62,32.59,68378.01,46802.35,21575.65
Central America and the Caribbean,Cuba,Vegetables,Online,C,04/28/2012,318886874,05/02/2012,1041,152.98,93.75,159256.81,97598.22,61658.59
Australia and Oceania,Fiji,Cosmetics,Online,C,07/29/2011,856138670,08/12/2011,8477,424.83,257.38,3601246.8,2181799.09,1419447.71
Middle East and North Africa,Turkey,Fruits,Offline,L,06/25/2013,416153477,07/28/2013,9646,71.2,49.0,686789.8,472641.78,214148.02
Asia,Vietnam,Personal Care,Offline,H,06/05/2013,931858844,07/04/2013,1099,76.42,50.41,83980.52,55396.4,28584.11
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,H,09/27/2015,748788715,10/14/2015,989,477.08,245.99,471831.8,243280.52,228551.28
Asia,South Korea,Cosmetics,Offline,L,01/16/2015,366081786,01/19/2015,7425,411.68,261.22,3056709.06,1939566.92,1117142.14
Europe,France,Clothes,Online,L,03/03/2013,609066763,03/27/2013,5391,101.79,35.3,548740.79,190316.48,358424.31
Middle East and North Africa,Libya,Baby Food,Offline,L,06/03/2012,974857498,06/18/2012,3634,163.54,92.27,594298.54,335316.32,258982.22
Middle East and North Africa,Turkey,Office Supplies,Online,M,06/17/2013,299876141,07/07/2013,527,632.64,461.73,333399.15,243332.14,90067.01
Sub-Saharan Africa,Nigeria,Fruits,Online,C,06/04/2012,790740155,07/12/2012,5110,68.7,45.81,351075.88,234101.24,116974.65
Asia,Vietnam,Baby Food,Online,L,10/01/2011,712005183,10/31/2011,1390,171.55,93.99,238456.23,130651.63,107804.6
Asia,Vietnam,Personal Care,Offline,C,04/12/2011,550671703,04/20/2011,9769,76.84,60.35,750658.76,589591.28,161067.48
North America,United States,Cosmetics,Online,C,11/03/2012,210830503,11/13/2012,6048,476.83,228.62,2883867.46,1382698.68,1501168.78
Sub-Saharan Africa,Chad,Personal Care,Offline,M,05/06/2016,437492083,05/19/2016,7834,79.94,50.96,626237.94,399219.65,227018.29
North America,United States,Snacks,Online,H,09/20/2013,633520700,10/01/2013,6083,168.61,96.8,1025644.28,588839.0,436805.28
Sub-Saharan Africa,Kenya,Personal Care,Online,C,07/11/2014,638179419,07/19/2014,3390,87.67,56.23,297196.06,190636.1,106559.96
North America,Mexico,Meat,Online,C,06/18/2013,389041721,06/24/2013,22,425.49,360.05,9360.86,7921.11,1439.75
Sub-Saharan Africa,Cape Verde,Snacks,Online,H,09/04/2013,745508619,09/16/2013,1561,167.69,89.67,261767.03,139967.17,121799.86
North America,United States,Vegetables,Offline,C,10/23/2015,794378283,11/24/2015,3666,126.73,92.76,464592.69,340053.52,124539.17
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,H,07/25/2015,957028297,08/22/2015,8947,663.44,457.22,5935756.32,4090745.92,1845010.41
North America,Mexico,Baby Food,Offline,C,01/15/2016,812566713,02/14/2016,957,166.73,92.32,159564.63,88348.1,71216.53
Middle East and North Africa,Saudi Arabia,Vegetables,Online,C,05/05/2015,478207848,06/06/2015,6564,127.03,88.12,833817.08,578414.91,255402.17
Middle East and North Africa,Egypt,Cereal,Online,M,10/22/2011,674869122,11/03/2011,530,190.42,115.13,100922.71,61018.1,39904.61
Asia,China,Office Supplies,Online,C,04/22/2012,669257257,05/15/2012,9132,615.79,501.26,5623408.33,4577520.21,1045888.13
Central America and the Caribbean,Jamaica,Cosmetics,Offline,L,11/14/2011,163640055,11/28/2011,2279,415.72,254.65,947424.75,580341.75,367083.0
Australia and Oceania,Fiji,Meat,Offline,L,01/28/2011,563797410,01/30/2011,9445,378.95,356.19,3579165.68,3364204.01,214961.67
Middle East and North Africa,Saudi Arabia,Beverages,Offline,H,11/19/2014,415666114,11/29/2014,630,42.41,30.12,26718.16,18974.75,7743.41
Europe,Germany,Personal Care,Offline,L,07/23/2014,603133866,07/31/2014,7116,86.14,51.34,612940.53,365317.37,247623.16
Middle East and North Africa,Saudi Arabia,Personal Care,Offline,L,11/17/2012,243932619,12/24/2012,3569,86.11,54.41,307318.42,194189.49,113128.94
North America,Mexico,Cosmetics,Online,H,08/14/2013,184823921,09/03/2013,969,433.77,271.83,420325.84,263403.55,156922.3
Central America and the Caribbean,Jamaica,Beverages,Offline,M,04/29/2012,543708576,05/04/2012,9201,47.08,31.13,433160.5,286420.2,146740.29
Middle East and North Africa,Turkey,Cereal,Online,H,01/09/2016,414093784,02/12/2016,7474,205.79,111.76,1538069.97,835312.69,702757.27
North America,Mexico,Cereal,Offline,C,08/10/2014,640055702,08/30/2014,6528,167.97,102.16,1096522.26,666886.98,429635.28
Europe,Greece,Fruits,Offline,C,09/26/2014,841320455,09/27/2014,6813,70.77,48.31,482126.23,329158.38,152967.85
Australia and Oceania,New Zealand,Cereal,Offline,H,02/16/2014,633850538,03/14/2014,6090,162.79,104.37,991380.26,635620.85,355759.4
Europe,Spain,Office Supplies,Offline,C,09/13/2013,295465560,09/21/2013,4910,700.4,510.06,3438939.74,2504399.29,934540.45
North America,United States,Household,Online,L,12/27/2011,523370685,01/22/2012,3292,610.88,490.08,2011030.82,1613328.8,397702.02
North America,Canada,Baby Food,Offline,L,11/18/2012,239094600,12/01/2012,3829,156.26,94.29,598331.45,361044.4,237287.05
Middle East and North Africa,Egypt,Cosmetics,Online,C,06/26/2015,348446405,07/15/2015,3554,458.04,264.89,1627873.94,941421.49,686452.46
Asia,Vietnam,Meat,Offline,C,04/01/2013,124733272,04/08/2013,2773,412.08,340.65,1142702.03,944628.85,198073.18
North America,Mexico,Household,Offline,C,08/27/2012,514401952,09/21/2012,8928,645.65,453.82,5764393.7,4051686.07,1712707.63
Europe,Estonia,Clothes,Online,M,08/31/2013,140133569,09/10/2013,2990,102.51,35.3,306508.29,105536.67,200971.62
Europe,Italy,Fruits,Offline,L,03/23/2014,659185931,04/17/2014,5253,69.98,45.72,367601.78,240175.31,127426.47
Middle East and North Africa,Saudi Arabia,Meat,Online,H,09/11/2014,940860054,10/02/2014,9207,472.16,319.99,4347131.09,2946144.42,1400986.67
